movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
Star Wars: The Force Awakens,136,81.0,936630000.0,23,0,1
Burnt,101,42.0,13650000.0,0,0,0
Star Wars: The Last Jedi,152,85.0,610800000.0,11,0,1
Arrival,116,81.0,94130000.0,59,2,1
Wonder,113,66.0,130560000.0,6,0,1
The Light Between Oceans,133,60.0,12530000.0,0,0,0
A Million Ways to Die in the West,116,44.0,42620000.0,0,0,0
Birdman or (The Unexpected Virtue of Ignorance),119,88.0,42340000.0,87,7,1
The Tale of the Princess Kaguya,137,89.0,700000.0,8,0,1
Hell or High Water,102,88.0,26860000.0,30,3,1
Whiplash,107,88.0,13090000.0,34,1,1
The Fault in Our Stars,126,69.0,124870000.0,4,0,0
Star Trek Beyond,122,68.0,158804470.0,2,0,1
Fences,139,78.0,43130000.0,27,2,1
Locke,85,81.0,1360000.0,2,0,0
The Secret Life of Pets,87,61.0,368310000.0,3,0,0
Fury,134,64.0,85710000.0,5,0,0
Ida,82,91.0,3830000.0,17,1,1
Everest,121,64.0,43250000.0,1,0,0
"Two Days, One Night",95,89.0,1330000.0,0,0,0
Beauty and the Beast,129,65.0,504010000.0,10,0,1
The Interview,112,52.0,6110000.0,0,0,0
Kingsman: The Secret Service,129,58.0,128250000.0,2,0,0
Leviathan,140,92.0,,7,1,1
Furious 7,137,67.0,350030000.0,11,1,0
Pitch Perfect 2,115,63.0,183440000.0,2,0,0
Omar,96,75.0,,0,0,1
Nightcrawler,117,76.0,32280000.0,37,1,1
Shaun the Sheep Movie,85,81.0,19370000.0,11,1,1
Chef,114,68.0,31240000.0,1,0,0
John Wick,101,68.0,43000000.0,0,0,0
A Most Violent Year,125,79.0,5750000.0,9,1,0
Zootopia,108,78.0,341260000.0,16,1,1
Batman v Superman: Dawn of Justice,151,44.0,330250000.0,2,0,0
The Theory of Everything,123,72.0,35887263.0,37,4,1
Tangerines,87,73.0,110000.0,1,1,1
Wild Tales,122,77.0,3080000.0,2,0,1
The Jungle Book,106,77.0,364000000.0,12,0,1
Inferno,121,42.0,34260000.0,0,0,0
Bad Grandpa,92,54.0,101980000.0,0,0,1
Hardcore Henry,96,51.0,9240000.0,0,0,0
Creed,133,82.0,109710000.0,12,1,1
Spy,119,75.0,110820000.0,7,2,0
Monster Trucks,105,42.0,14170000.0,0,0,0
Beyond the Lights,116,73.0,14610000.0,0,0,1
Room,118,86.0,14680000.0,35,3,1
Theeb,100,80.0,280000.0,2,0,1
Boy and the World,80,80.0,50000.0,0,0,1
Fantastic Beasts and Where to Find Them,133,66.0,229180000.0,13,0,1
Trumbo,124,60.0,,13,2,1
It Follows,100,83.0,14670000.0,3,0,0
Sully,96,74.0,125030000.0,7,0,1
The Autopsy of Jane Doe,86,63.0,,0,0,0
Youth,124,64.0,2700000.0,7,2,1
Logan,137,77.0,226280000.0,15,0,1
Still Alice,101,72.0,18656400.0,9,1,1
Jack Reacher: Never Go Back,118,47.0,58400000.0,0,0,0
Sicario,121,82.0,46880000.0,32,0,1
When Marnie Was There,103,72.0,400000.0,1,0,1
Timbuktu,97,92.0,1070000.0,3,0,1
A Monster Calls,108,76.0,2170000.0,7,0,0
What We Do in the Shadows,86,76.0,3330000.0,2,0,0
War for the Planet of the Apes,140,82.0,146880000.0,8,0,1
The Hateful Eight,187,68.0,54120000.0,25,3,1
The Lobster,119,82.0,8699235.0,13,1,1
Sing,108,59.0,238240000.0,3,2,0
Captain America: Civil War,147,75.0,408080000.0,6,0,0
The Disaster Artist,104,76.0,20910000.0,17,2,1
Moana,107,81.0,233410000.0,11,2,1
45 Years,91,94.0,4250000.0,11,0,1
Captain Fantastic,118,72.0,5880000.0,6,1,1
The Visit,94,55.0,65070000.0,1,0,0
Legend,132,55.0,1870000.0,2,0,0
Knock Knock,99,53.0,30000.0,0,0,0
The Girl on the Train,112,48.0,75310000.0,4,0,0
Allied,124,60.0,39800000.0,2,0,1
The Martian,144,80.0,228430000.0,47,3,1
Bridge of Spies,142,81.0,72310000.0,33,1,1
Elle,130,89.0,,15,2,1
Underworld: Blood Wars,91,22.0,23930000.0,0,0,0
Kong: Skull Island,118,62.0,168050000.0,0,0,1
Lion,118,69.0,9870000.0,30,4,1
Rogue One: A Star Wars Story,133,65.0,501900000.0,6,0,1
La La Land,128,93.0,77300000.0,89,7,1
Son of Saul,107,89.0,1780000.0,16,1,1
A War,115,81.0,120000.0,0,0,1
Land of Mine,100,76.0,,0,0,1
Baby Driver,112,86.0,107830000.0,11,1,1
Guardians of the Galaxy Vol. 2,136,67.0,389810000.0,2,0,1
Mustang,97,83.0,840000.0,7,1,1
Manchester by the Sea,137,96.0,35160000.0,71,5,1
Green Room,95,79.0,3220000.0,0,0,0
A Man Called Ove,116,69.0,54608.0,0,0,1
Florence Foster Jenkins,111,71.0,27370107.0,17,4,1
13 Hours,144,48.0,52822418.0,0,0,1
Molly's Game,140,71.0,25900000.0,12,2,1
Tanna,100,74.0,10000.0,0,0,1
The Witch,92,83.0,25140000.0,7,0,0
Embrace of the Serpent,125,82.0,1320000.0,0,0,1
Kubo and the Two Strings,101,83.0,48019281.0,10,1,1
20th Century Women,119,83.0,130467.0,10,2,1
Why Him?,111,39.0,51830000.0,0,0,0
The Girl with All the Gifts,111,69.0,,4,0,0
Nocturnal Animals,116,67.0,10430000.0,40,3,1
Darkest Hour,125,75.0,45200000.0,24,1,1
Patriots Day,133,69.0,14680000.0,0,0,0
Loving,123,79.0,159615.0,14,2,1
Collateral Beauty,97,23.0,29850000.0,2,0,0
Hidden Figures,127,74.0,61890000.0,23,2,1
Lady Bird,94,94.0,41610000.0,51,4,1
Split,117,76.0,,1,0,0
Moonlight,111,99.0,11480000.0,79,6,1
Dunkirk,106,94.0,188370000.0,43,3,1
"Three Billboards Outside Ebbing, Missouri",115,88.0,37250000.0,57,6,1
Get Out,104,84.0,175850000.0,46,2,1
Jim: The James Foley Story,111,73.0,,0,0,1
All the Money in the World,132,72.0,24530000.0,4,3,1
Marshall,118,66.0,10050000.0,2,0,1
The Big Sick,120,86.0,42870000.0,21,0,1
"I, Tonya",120,77.0,18900000.0,36,3,1
The Shape of Water,123,86.0,37900000.0,81,7,1
The Florida Project,111,92.0,5660000.0,23,1,1
Call Me by Your Name,132,93.0,11300000.0,55,3,1
Phantom Thread,130,90.0,10710000.0,30,2,1
Victoria & Abdul,111,58.0,22250000.0,5,1,1
"Roman J. Israel, Esq.",122,58.0,11940000.0,2,1,1
The Post,116,83.0,58790000.0,22,6,1
