,movie,duration,metascore,gross,awards_nominations,golden_globes_nominated,oscar_nominated
983,Miss Peregrine's Home for Peculiar Children,127,57.0,87080000.0,1,0,0
984,The Hunger Games: Catching Fire,146,76.0,424650000.0,11,1,0
985,The Hunger Games: Mockingjay - Part 1,123,64.0,337100000.0,5,1,0
986,The Hunger Games: Mockingjay - Part 2,137,65.0,281670000.0,2,0,0
987,Sex Tape,94,36.0,38540000.0,0,0,0
988,Rush,123,75.0,26900000.0,18,2,0
989,Begin Again,104,62.0,16170000.0,4,0,1
990,Thor: The Dark World,112,54.0,206360000.0,1,0,0
991,Pitch Perfect,112,66.0,65000000.0,4,0,0
992,Alone Yet Not Alone,103,,670000.0,0,0,1
993,Monsieur Lazhar,94,82.0,2010000.0,0,0,1
994,The Wind Rises,126,83.0,5200000.0,13,1,1
995,Guardians of the Galaxy,121,76.0,333130000.0,23,0,1
996,All Is Lost,106,87.0,6260000.0,6,2,1
997,The Broken Circle Breakdown,111,71.0,30000.0,1,0,1
998,12 Years a Slave,134,96.0,56670000.0,100,7,1
999,The Great Wall,103,48.0,,0,0,0
1000,Inside Llewyn Davis,104,92.0,13210000.0,38,3,1
1001,Point Break,114,34.0,28770000.0,0,0,0
1002,No,118,81.0,2340000.0,0,0,1
1003,Steve Jobs,122,82.0,17750000.0,33,4,1
1004,The Imitation Game,114,73.0,91120000.0,45,5,1
1005,Assassin's Creed,115,36.0,51200000.0,0,0,0
1006,Inside Out,95,94.0,356450000.0,34,1,1
1007,Spring Breakers,94,63.0,14120000.0,3,0,0
1008,Dawn of the Planet of the Apes,130,79.0,208540000.0,8,0,1
1009,The Hunt,115,76.0,610000.0,7,1,1
1010,Transformers: Age of Extinction,165,32.0,245430000.0,1,0,0
1011,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,114,58.0,940000.0,0,0,1
1012,Hacksaw Ridge,139,71.0,65090000.0,32,3,1
1013,Beasts of the Southern Wild,93,86.0,12784397.0,25,0,1
1014,Saving Mr. Banks,125,65.0,83300000.0,22,1,1
1015,The Accountant,128,51.0,86200000.0,0,0,0
1016,American Sniper,133,72.0,350120000.0,18,0,1
1017,Into the Woods,125,69.0,128000000.0,22,3,1
1018,The Purge,85,41.0,64420000.0,0,0,0
1019,Grown Ups 2,101,19.0,133670000.0,1,0,0
1020,The Other Woman,109,39.0,83910000.0,1,0,0
1021,Before Midnight,109,94.0,8110000.0,12,1,1
1022,Big Hero 6,102,74.0,222490000.0,10,1,1
1023,Gone Girl,149,79.0,167740000.0,39,4,1
1024,The Grand Budapest Hotel,99,88.0,59070000.0,73,4,1
1025,Love the Coopers,107,31.0,26280000.0,0,0,0
1026,Frozen,102,74.0,400740000.0,22,2,1
1027,Olympus Has Fallen,119,41.0,98900000.0,0,0,0
1028,Mandela: Long Walk to Freedom,141,60.0,8320000.0,7,3,1
1029,Wild,115,76.0,37880000.0,12,1,1
1030,The Hobbit: The Battle of the Five Armies,144,59.0,255110000.0,12,0,1
1031,Fifty Shades of Grey,125,46.0,166150000.0,3,1,1
1032,The Expendables 3,126,35.0,39290000.0,0,0,0
1033,Blue Jasmine,98,78.0,33404871.0,27,2,1
1034,White House Down,131,52.0,73100000.0,1,0,0
1035,The Great Beauty,141,86.0,2840000.0,11,1,1
1036,Live by Night,129,48.0,5610000.0,1,0,0
1037,The Intern,121,51.0,75270000.0,1,0,0
1038,Spectre,148,60.0,200070000.0,7,1,1
1039,Coco,105,81.0,202700000.0,19,2,1
1040,Brooklyn,117,87.0,38317535.0,37,1,1
1041,Mission: Impossible - Rogue Nation,131,75.0,195000000.0,8,0,0
1042,Focus,105,56.0,53850000.0,0,0,0
1043,Keeping Up with the Joneses,105,34.0,14900000.0,0,0,0
1044,Avengers: Age of Ultron,141,66.0,458990000.0,1,0,0
1045,Mudbound,134,85.0,,19,2,1
1046,The Invitation,100,74.0,230000.0,0,0,0
1047,Anomalisa,90,88.0,3440000.0,16,1,1
1048,The November Man,108,38.0,24980000.0,0,0,0
1049,Carol,118,95.0,250000.0,69,5,1
1050,The Green Inferno,100,38.0,7190000.0,0,0,0
1051,The Family,111,42.0,36920000.0,0,0,0
1052,The Magnificent Seven,133,54.0,93380000.0,0,0,0
1053,Philomena,98,77.0,37707719.0,21,3,1
1054,Joy,124,56.0,56440000.0,9,2,1
1055,Mr. Turner,150,94.0,3960000.0,20,0,1
1056,Star Wars: The Force Awakens,136,81.0,936630000.0,23,0,1
1057,Burnt,101,42.0,13650000.0,0,0,0
1058,Star Wars: The Last Jedi,152,85.0,610800000.0,11,0,1
1059,Arrival,116,81.0,94130000.0,59,2,1
1060,Wonder,113,66.0,130560000.0,6,0,1
1061,The Light Between Oceans,133,60.0,12530000.0,0,0,0
1062,A Million Ways to Die in the West,116,44.0,42620000.0,0,0,0
1063,Birdman or (The Unexpected Virtue of Ignorance),119,88.0,42340000.0,87,7,1
1064,The Tale of the Princess Kaguya,137,89.0,700000.0,8,0,1
1065,Hell or High Water,102,88.0,26860000.0,30,3,1
1066,Whiplash,107,88.0,13090000.0,34,1,1
1067,The Fault in Our Stars,126,69.0,124870000.0,4,0,0
1068,Star Trek Beyond,122,68.0,158804470.0,2,0,1
1069,Fences,139,78.0,43130000.0,27,2,1
1070,Locke,85,81.0,1360000.0,2,0,0
1071,The Secret Life of Pets,87,61.0,368310000.0,3,0,0
1072,Fury,134,64.0,85710000.0,5,0,0
1073,Ida,82,91.0,3830000.0,17,1,1
1074,Everest,121,64.0,43250000.0,1,0,0
1075,"Two Days, One Night",95,89.0,1330000.0,0,0,0
1076,Beauty and the Beast,129,65.0,504010000.0,10,0,1
1077,The Interview,112,52.0,6110000.0,0,0,0
1078,Kingsman: The Secret Service,129,58.0,128250000.0,2,0,0
1079,Leviathan,140,92.0,,7,1,1
1080,Furious 7,137,67.0,350030000.0,11,1,0
1081,Pitch Perfect 2,115,63.0,183440000.0,2,0,0
1082,Omar,96,75.0,,0,0,1
1083,Nightcrawler,117,76.0,32280000.0,37,1,1
1084,Shaun the Sheep Movie,85,81.0,19370000.0,11,1,1
1085,Chef,114,68.0,31240000.0,1,0,0
1086,John Wick,101,68.0,43000000.0,0,0,0
1087,A Most Violent Year,125,79.0,5750000.0,9,1,0
1088,Zootopia,108,78.0,341260000.0,16,1,1
1089,Batman v Superman: Dawn of Justice,151,44.0,330250000.0,2,0,0
1090,The Theory of Everything,123,72.0,35887263.0,37,4,1
1091,Tangerines,87,73.0,110000.0,1,1,1
1092,Wild Tales,122,77.0,3080000.0,2,0,1
1093,The Jungle Book,106,77.0,364000000.0,12,0,1
1094,Inferno,121,42.0,34260000.0,0,0,0
1095,Bad Grandpa,92,54.0,101980000.0,0,0,1
1096,Hardcore Henry,96,51.0,9240000.0,0,0,0
1097,Creed,133,82.0,109710000.0,12,1,1
1098,Spy,119,75.0,110820000.0,7,2,0
1099,Monster Trucks,105,42.0,14170000.0,0,0,0
1100,Beyond the Lights,116,73.0,14610000.0,0,0,1
1101,Room,118,86.0,14680000.0,35,3,1
1102,Theeb,100,80.0,280000.0,2,0,1
1103,Boy and the World,80,80.0,50000.0,0,0,1
1104,Fantastic Beasts and Where to Find Them,133,66.0,229180000.0,13,0,1
1105,Trumbo,124,60.0,,13,2,1
1106,It Follows,100,83.0,14670000.0,3,0,0
1107,Sully,96,74.0,125030000.0,7,0,1
1108,The Autopsy of Jane Doe,86,63.0,,0,0,0
1109,Youth,124,64.0,2700000.0,7,2,1
1110,Logan,137,77.0,226280000.0,15,0,1
1111,Still Alice,101,72.0,18656400.0,9,1,1
1112,Jack Reacher: Never Go Back,118,47.0,58400000.0,0,0,0
1113,Sicario,121,82.0,46880000.0,32,0,1
1114,When Marnie Was There,103,72.0,400000.0,1,0,1
1115,Timbuktu,97,92.0,1070000.0,3,0,1
1116,A Monster Calls,108,76.0,2170000.0,7,0,0
1117,What We Do in the Shadows,86,76.0,3330000.0,2,0,0
1118,War for the Planet of the Apes,140,82.0,146880000.0,8,0,1
1119,The Hateful Eight,187,68.0,54120000.0,25,3,1
1120,The Lobster,119,82.0,8699235.0,13,1,1
1121,Sing,108,59.0,238240000.0,3,2,0
1122,Captain America: Civil War,147,75.0,408080000.0,6,0,0
1123,The Disaster Artist,104,76.0,20910000.0,17,2,1
1124,Moana,107,81.0,233410000.0,11,2,1
1125,45 Years,91,94.0,4250000.0,11,0,1
1126,Captain Fantastic,118,72.0,5880000.0,6,1,1
1127,The Visit,94,55.0,65070000.0,1,0,0
1128,Legend,132,55.0,1870000.0,2,0,0
1129,Knock Knock,99,53.0,30000.0,0,0,0
1130,The Girl on the Train,112,48.0,75310000.0,4,0,0
1131,Allied,124,60.0,39800000.0,2,0,1
1132,The Martian,144,80.0,228430000.0,47,3,1
1133,Bridge of Spies,142,81.0,72310000.0,33,1,1
1134,Elle,130,89.0,,15,2,1
1135,Underworld: Blood Wars,91,22.0,23930000.0,0,0,0
1136,Kong: Skull Island,118,62.0,168050000.0,0,0,1
1137,Lion,118,69.0,9870000.0,30,4,1
1138,Rogue One: A Star Wars Story,133,65.0,501900000.0,6,0,1
1139,La La Land,128,93.0,77300000.0,89,7,1
1140,Son of Saul,107,89.0,1780000.0,16,1,1
1141,A War,115,81.0,120000.0,0,0,1
1142,Land of Mine,100,76.0,,0,0,1
1143,Baby Driver,112,86.0,107830000.0,11,1,1
1144,Guardians of the Galaxy Vol. 2,136,67.0,389810000.0,2,0,1
1145,Mustang,97,83.0,840000.0,7,1,1
1146,Manchester by the Sea,137,96.0,35160000.0,71,5,1
1147,Green Room,95,79.0,3220000.0,0,0,0
1148,A Man Called Ove,116,69.0,54608.0,0,0,1
1149,Florence Foster Jenkins,111,71.0,27370107.0,17,4,1
1150,13 Hours,144,48.0,52822418.0,0,0,1
1151,Molly's Game,140,71.0,25900000.0,12,2,1
1152,Tanna,100,74.0,10000.0,0,0,1
1153,The Witch,92,83.0,25140000.0,7,0,0
1154,Embrace of the Serpent,125,82.0,1320000.0,0,0,1
1155,Kubo and the Two Strings,101,83.0,48019281.0,10,1,1
1156,20th Century Women,119,83.0,130467.0,10,2,1
1157,Why Him?,111,39.0,51830000.0,0,0,0
1158,The Girl with All the Gifts,111,69.0,,4,0,0
1159,Nocturnal Animals,116,67.0,10430000.0,40,3,1
1160,Darkest Hour,125,75.0,45200000.0,24,1,1
1161,Patriots Day,133,69.0,14680000.0,0,0,0
1162,Loving,123,79.0,159615.0,14,2,1
1163,Collateral Beauty,97,23.0,29850000.0,2,0,0
1164,Hidden Figures,127,74.0,61890000.0,23,2,1
1165,Lady Bird,94,94.0,41610000.0,51,4,1
1166,Split,117,76.0,,1,0,0
1167,Moonlight,111,99.0,11480000.0,79,6,1
1168,Dunkirk,106,94.0,188370000.0,43,3,1
1169,"Three Billboards Outside Ebbing, Missouri",115,88.0,37250000.0,57,6,1
1170,Get Out,104,84.0,175850000.0,46,2,1
1171,Jim: The James Foley Story,111,73.0,,0,0,1
1172,All the Money in the World,132,72.0,24530000.0,4,3,1
1173,Marshall,118,66.0,10050000.0,2,0,1
1174,The Big Sick,120,86.0,42870000.0,21,0,1
1175,"I, Tonya",120,77.0,18900000.0,36,3,1
1176,The Shape of Water,123,86.0,37900000.0,81,7,1
1177,The Florida Project,111,92.0,5660000.0,23,1,1
1178,Call Me by Your Name,132,93.0,11300000.0,55,3,1
1179,Phantom Thread,130,90.0,10710000.0,30,2,1
1180,Victoria & Abdul,111,58.0,22250000.0,5,1,1
1181,"Roman J. Israel, Esq.",122,58.0,11940000.0,2,1,1
1182,The Post,116,83.0,58790000.0,22,6,1
